"municipio";"cod_ibge";"nome_meso";"nome_micro";"count"
"SANTO AMARO";"2928604";"Metropolitana de Salvador";"Santo Antônio de Jesus";"18296"
"SANTO ANTONIO DE JESUS";"2928703";"Metropolitana de Salvador";"Santo Antônio de Jesus";"43168"
"SANTO ESTEVAO";"2928802";"Centro Norte Baiano";"Feira de Santana";"11581"
"SAO DESIDERIO";"2928901";"Extremo Oeste Baiano";"Barreiras";"1086"
"SAO DOMINGOS";"2928950";"Nordeste Baiano";"Serrinha";"1453"
"SAO FELIPE";"2929107";"Metropolitana de Salvador";"Santo Antônio de Jesus";"875"
"SAO FELIX";"2929008";"Metropolitana de Salvador";"Santo Antônio de Jesus";"2578"
"SAO FRANCISCO DO CONDE";"2929206";"Metropolitana de Salvador";"Salvador";"25660"
"SAO GABRIEL";"2929255";"Centro Norte Baiano";"Irecê";"3231"
"SAO GONCALO DOS CAMPOS";"2929305";"Centro Norte Baiano";"Feira de Santana";"5464"
"SAO JOSE DA VITORIA";"2929354";"Sul Baiano";"Ilhéus-Itabuna";"9"
"SAO JOSE DO JACUIPE";"2929370";"Centro Norte Baiano";"Jacobina";"636"
"SAO MIGUEL DAS MATAS";"2929404";"Centro Sul Baiano";"Jequié";"320"
"SAO SEBASTIAO DO PASSE";"2929503";"Metropolitana de Salvador";"Catu";"21170"
"SAPEACU";"2929602";"Metropolitana de Salvador";"Santo Antônio de Jesus";"1961"
"SATIRO DIAS";"2929701";"Nordeste Baiano";"Alagoinhas";"1303"
"SAUBARA";"2929750";"Metropolitana de Salvador";"Santo Antônio de Jesus";"9713"
"SAUDE";"2929800";"Centro Norte Baiano";"Jacobina";"1127"
"SEABRA";"2929909";"Centro Sul Baiano";"Seabra";"15957"
"SENHOR DO BONFIM";"2930105";"Centro Norte Baiano";"Senhor do Bonfim";"25989"
"SERRA DOURADA";"2930303";"Extremo Oeste Baiano";"Santa Maria da Vitória";"2156"
"SERRA PRETA";"2930402";"Centro Norte Baiano";"Feira de Santana";"952"
"SERRINHA";"2930501";"Nordeste Baiano";"Serrinha";"25654"
"SERROLANDIA";"2930600";"Centro Norte Baiano";"Jacobina";"2665"
"SIMOES FILHO";"2930709";"Metropolitana de Salvador";"Salvador";"24510"
"SITIO DO QUINTO";"2930766";"Nordeste Baiano";"Jeremoabo";"450"
"SOUTO SOARES";"2930808";"Centro Norte Baiano";"Irecê";"888"
"TABOCAS DO BREJO VELHO";"2930907";"Extremo Oeste Baiano";"Cotegipe";"150"
"TANHACU";"2931004";"Centro Sul Baiano";"Brumado";"1156"
"TANQUE NOVO";"2931053";"Centro Sul Baiano";"Boquira";"1128"
"TANQUINHO";"2931103";"Centro Norte Baiano";"Feira de Santana";"2660"
"TAPIRAMUTA";"2931301";"Centro Norte Baiano";"Itaberaba";"1955"
"TEIXEIRA DE FREITAS";"2931350";"Sul Baiano";"Porto Seguro";"24664"
"TEODORO SAMPAIO";"2931400";"Centro Norte Baiano";"Feira de Santana";"1909"
"TEOFILANDIA";"2931509";"Nordeste Baiano";"Serrinha";"2172"
"TEOLANDIA";"2931608";"Sul Baiano";"Ilhéus-Itabuna";"787"
"TERRA NOVA";"2931707";"Metropolitana de Salvador";"Catu";"1518"
"TREMEDAL";"2931806";"Centro Sul Baiano";"Brumado";"158"
"TUCANO";"2931905";"Nordeste Baiano";"Euclides da Cunha";"6828"
"UAUA";"2932002";"Nordeste Baiano";"Euclides da Cunha";"3425"
"UBAIRA";"2932101";"Centro Sul Baiano";"Jequié";"1053"
"UBAITABA";"2932200";"Sul Baiano";"Ilhéus-Itabuna";"4781"
"UBATA";"2932309";"Sul Baiano";"Ilhéus-Itabuna";"2800"
"UIBAI";"2932408";"Centro Norte Baiano";"Irecê";"3875"
"UMBURANAS";"2932457";"Centro Norte Baiano";"Senhor do Bonfim";"775"
"UNA";"2932507";"Sul Baiano";"Ilhéus-Itabuna";"3529"
"URUCUCA";"2932705";"Sul Baiano";"Ilhéus-Itabuna";"3683"
"UTINGA";"2932804";"Centro Sul Baiano";"Seabra";"2374"
"VALENTE";"2933000";"Nordeste Baiano";"Serrinha";"4469"
"VARZEA DA ROCA";"2933059";"Centro Norte Baiano";"Itaberaba";"1145"
"VARZEA DO POCO";"2933109";"Centro Norte Baiano";"Jacobina";"562"
"VARZEA NOVA";"2933158";"Centro Norte Baiano";"Jacobina";"2552"
"VARZEDO";"2933174";"Metropolitana de Salvador";"Santo Antônio de Jesus";"208"
"VERA CRUZ";"2933208";"Metropolitana de Salvador";"Salvador";"23768"
"VEREDA";"2933257";"Sul Baiano";"Porto Seguro";"284"
"VITORIA DA CONQUISTA";"2933307";"Centro Sul Baiano";"Vitória da Conquista";"100911"
"WAGNER";"2933406";"Centro Sul Baiano";"Seabra";"810"
"WANDERLEY";"2933455";"Extremo Oeste Baiano";"Cotegipe";"291"
"WENCESLAU GUIMARAES";"2933505";"Sul Baiano";"Ilhéus-Itabuna";"2714"
"XIQUE-XIQUE
";"2933604";"Vale São-Franciscano da Bahia";"Barra";"1"
"";"2900108";"Centro Sul Baiano";"Seabra";"1"
